Year,Age,Sex,Mean,SD
2017,5,Male,18.9,2.64
2017,6,Male,21.4,3.34
2017,7,Male,24.1,4.08
2017,8,Male,27.2,5.04
2017,9,Male,30.5,6.26
2017,10,Male,34.2,7.22
2017,11,Male,38.2,8.35
2017,12,Male,44,9.62
2017,13,Male,49,9.83
2017,14,Male,53.9,9.83
2017,15,Male,58.9,10.7
2017,16,Male,60.6,10.26
2017,17,Male,62.6,10.38
2017,5,Female,18.5,2.51
2017,6,Female,21,3.22
2017,7,Female,23.5,3.78
2017,8,Female,26.4,4.66
2017,9,Female,29.9,5.79
2017,10,Female,34,6.92
2017,11,Female,39,7.78
2017,12,Female,43.6,8.01
2017,13,Female,47.2,7.6
2017,14,Female,50,7.45
2017,15,Female,51.6,7.68
2017,16,Female,52.6,7.74
2017,17,Female,53,7.82
2016,5,Male,18.9,2.63
2016,6,Male,21.4,3.38
2016,7,Male,24,4.09
2016,8,Male,27.2,5.08
2016,9,Male,30.6,6.16
2016,10,Male,34,7.29
2016,11,Male,38.4,8.47
2016,12,Male,44,9.72
2016,13,Male,48.8,9.76
2016,14,Male,53.9,9.71
2016,15,Male,58.7,10.5
2016,16,Male,60.5,10.13
2016,17,Male,62.5,10.17
2016,5,Female,18.5,2.49
2016,6,Female,20.9,3.19
2016,7,Female,23.5,3.88
2016,8,Female,26.4,4.71
2016,9,Female,29.8,5.7
2016,10,Female,34,6.97
2016,11,Female,39,7.88
2016,12,Female,43.7,8.01
2016,13,Female,47.2,7.57
2016,14,Female,50,7.46
2016,15,Female,51.7,7.78
2016,16,Female,52.6,7.61
2016,17,Female,52.9,7.73
2015,5,Male,18.9,2.61
2015,6,Male,21.3,3.21
2015,7,Male,23.9,4.02
2015,8,Male,26.9,4.94
2015,9,Male,30.4,6.19
2015,10,Male,34,7.2
2015,11,Male,38.2,8.39
2015,12,Male,43.9,9.68
2015,13,Male,48.8,9.71
2015,14,Male,53.9,9.75
2015,15,Male,59,10.58
2015,16,Male,60.6,9.88
2015,17,Male,62.5,10.11
2015,5,Female,18.5,2.48
2015,6,Female,20.8,3.15
2015,7,Female,23.4,3.72
2015,8,Female,26.4,4.71
2015,9,Female,29.7,5.72
2015,10,Female,33.9,6.85
2015,11,Female,38.8,7.66
2015,12,Female,43.6,7.95
2015,13,Female,47.3,7.7
2015,14,Female,49.9,7.41
2015,15,Female,51.5,7.76
2015,16,Female,52.6,7.72
2015,17,Female,53,7.83
2014,5,Male,18.85025956,2.61
2014,6,Male,21.33365552,3.35
2014,7,Male,23.96029074,4.07
2014,8,Male,27.03049229,5.1
2014,9,Male,30.43997369,6.19
2014,10,Male,34.00917953,7.37
2014,11,Male,38.41406662,8.58
2014,12,Male,43.96227527,9.78
2014,13,Male,48.81679313,9.92
2014,14,Male,53.89601589,9.79
2014,15,Male,58.90004683,10.54
2014,16,Male,60.69317626,10.29
2014,17,Male,62.60386478,10.31
2014,5,Female,18.51059705,2.53
2014,6,Female,20.79910177,3.21
2014,7,Female,23.43257761,3.85
2014,8,Female,26.38229558,4.75
2014,9,Female,29.80455226,5.74
2014,10,Female,34.01970635,7.04
2014,11,Female,38.9727601,7.76
2014,12,Female,43.56400378,7.89
2014,13,Female,47.21310163,7.59
2014,14,Female,49.99316611,7.57
2014,15,Female,51.39619804,7.92
2014,16,Female,52.42178607,7.88
2014,17,Female,52.89755433,7.84
2013,5,Male,18.9,2.59
2013,6,Male,21.3,3.37
2013,7,Male,23.9,4.05
2013,8,Male,27.1,5.02
2013,9,Male,30.4,6.13
2013,10,Male,34.3,7.46
2013,11,Male,38.3,8.44
2013,12,Male,43.9,9.7
2013,13,Male,48.8,9.86
2013,14,Male,54,9.97
2013,15,Male,58.9,10.57
2013,16,Male,61,10.37
2013,17,Male,62.8,10.61
2013,5,Female,18.6,2.53
2013,6,Female,20.9,3.17
2013,7,Female,23.5,3.86
2013,8,Female,26.4,4.64
2013,9,Female,30,5.89
2013,10,Female,34,7.03
2013,11,Female,39,7.77
2013,12,Female,43.7,8.05
2013,13,Female,47.1,7.78
2013,14,Female,49.9,7.51
2013,15,Female,51.4,7.9
2013,16,Female,52.5,7.7
2013,17,Female,52.9,7.9
2012,5,Male,18.9,2.6
2012,6,Male,21.3,3.32
2012,7,Male,24,4.08
2012,8,Male,27.1,5.06
2012,9,Male,30.5,6.16
2012,10,Male,34,7.22
2012,11,Male,38.2,8.4
2012,12,Male,44,9.75
2012,13,Male,49,10.02
2012,14,Male,54.2,10
2012,15,Male,59.2,10.67
2012,16,Male,61.1,10.26
2012,17,Male,62.9,10.58
2012,5,Female,18.5,2.56
2012,6,Female,20.9,3.2
2012,7,Female,23.5,3.88
2012,8,Female,26.3,4.63
2012,9,Female,29.9,5.79
2012,10,Female,34,6.86
2012,11,Female,38.9,7.7
2012,12,Female,43.7,8.13
2012,13,Female,47.4,7.83
2012,14,Female,49.9,7.65
2012,15,Female,51.6,8.04
2012,16,Female,52.5,7.87
2012,17,Female,52.9,8.03
2011,5,Male,18.9,2.57
2011,6,Male,21.3,3.28
2011,7,Male,24,4.16
2011,8,Male,27,5.02
2011,9,Male,30.3,5.95
2011,10,Male,33.8,7.27
2011,11,Male,38,8.23
2011,12,Male,43.8,9.65
2011,13,Male,49,9.98
2011,14,Male,54.2,9.94
2011,15,Male,59.4,10.93
2011,16,Male,61.3,10.43
2011,17,Male,63.1,10.58
2011,5,Female,18.5,2.51
2011,6,Female,20.8,3.14
2011,7,Female,23.4,3.79
2011,8,Female,26.4,4.73
2011,9,Female,29.8,5.76
2011,10,Female,34,6.9
2011,11,Female,38.8,7.77
2011,12,Female,43.6,8.08
2011,13,Female,47.1,7.82
2011,14,Female,49.9,7.61
2011,15,Female,51.4,7.93
2011,16,Female,52.4,7.77
2011,17,Female,52.8,7.81
2010,5,Male,19,2.7
2010,6,Male,21.4,3.36
2010,7,Male,24,4.06
2010,8,Male,27.2,5.06
2010,9,Male,30.5,6.24
2010,10,Male,34.1,7.21
2010,11,Male,38.4,8.58
2010,12,Male,44.1,9.79
2010,13,Male,49.2,10.01
2010,14,Male,54.4,10.14
2010,15,Male,59.5,10.82
2010,16,Male,61.5,10.66
2010,17,Male,63.1,10.59
2010,5,Female,18.6,2.58
2010,6,Female,21,3.22
2010,7,Female,23.5,3.88
2010,8,Female,26.5,4.73
2010,9,Female,30,5.79
2010,10,Female,34.1,6.96
2010,11,Female,39,7.91
2010,12,Female,43.8,8.16
2010,13,Female,47.3,7.77
2010,14,Female,50,7.78
2010,15,Female,51.6,8.01
2010,16,Female,52.7,8.01
2010,17,Female,52.9,7.93
2009,5,Male,19,2.69
2009,6,Male,21.5,3.44
2009,7,Male,24.1,4.13
2009,8,Male,27.2,5.07
2009,9,Male,30.6,6.35
2009,10,Male,34.2,7.57
2009,11,Male,38.4,8.6
2009,12,Male,44.2,9.92
2009,13,Male,49.1,10.18
2009,14,Male,54.3,10.18
2009,15,Male,59.5,10.94
2009,16,Male,61.3,10.47
2009,17,Male,63.1,10.78
2009,5,Female,18.6,2.59
2009,6,Female,21,3.29
2009,7,Female,23.5,3.86
2009,8,Female,26.5,4.88
2009,9,Female,30,5.9
2009,10,Female,34.1,7.08
2009,11,Female,39,7.94
2009,12,Female,43.8,8.25
2009,13,Female,47.3,7.94
2009,14,Female,50.2,7.83
2009,15,Female,51.6,8.04
2009,16,Female,52.8,8.01
2009,17,Female,52.9,8.07
2008,5,Male,19.1,2.73
2008,6,Male,21.5,3.4
2008,7,Male,24.2,4.26
2008,8,Male,27.3,5.25
2008,9,Male,30.8,6.52
2008,10,Male,34.3,7.53
2008,11,Male,38.8,8.71
2008,12,Male,44.5,10.04
2008,13,Male,49.5,10.38
2008,14,Male,54.9,10.44
2008,15,Male,59.8,11.34
2008,16,Male,61.6,10.7
2008,17,Male,63.4,11.37
2008,5,Female,18.6,2.59
2008,6,Female,21,3.29
2008,7,Female,23.6,3.93
2008,8,Female,26.6,4.86
2008,9,Female,30.1,5.91
2008,10,Female,34.4,7.34
2008,11,Female,39.3,8.04
2008,12,Female,44.2,8.45
2008,13,Female,47.7,8.05
2008,14,Female,50.4,7.89
2008,15,Female,52,8.24
2008,16,Female,53,8.24
2008,17,Female,53.2,8.13
2007,5,Male,19.1,2.7
2007,6,Male,21.5,3.49
2007,7,Male,24.2,4.36
2007,8,Male,27.4,5.32
2007,9,Male,30.7,6.35
2007,10,Male,34.4,7.7
2007,11,Male,38.7,8.77
2007,12,Male,44.5,10.24
2007,13,Male,49.6,10.64
2007,14,Male,54.7,10.46
2007,15,Male,60,11.63
2007,16,Male,62,11.05
2007,17,Male,63.7,11.02
2007,5,Female,18.7,2.65
2007,6,Female,21,3.32
2007,7,Female,23.5,3.99
2007,8,Female,26.6,4.98
2007,9,Female,30,6
2007,10,Female,34.3,7.3
2007,11,Female,39.1,8.11
2007,12,Female,44.1,8.5
2007,13,Female,47.6,8.11
2007,14,Female,50.3,8.05
2007,15,Female,52.1,8.33
2007,16,Female,53.2,8.2
2007,17,Female,53.5,8.41
2006,5,Male,19.1,2.72
2006,6,Male,21.6,3.66
2006,7,Male,24.2,4.26
2006,8,Male,27.4,5.37
2006,9,Male,30.9,6.56
2006,10,Male,34.5,7.55
2006,11,Male,38.8,8.82
2006,12,Male,44.9,10.48
2006,13,Male,49.9,10.53
2006,14,Male,55.1,10.62
2006,15,Male,60.1,11.27
2006,16,Male,62,10.81
2006,17,Male,63.9,11.04
2006,5,Female,18.7,2.63
2006,6,Female,21.1,3.34
2006,7,Female,23.6,4.02
2006,8,Female,26.6,4.89
2006,9,Female,30.1,6.01
2006,10,Female,34.2,7.14
2006,11,Female,39.5,8.15
2006,12,Female,44.4,8.45
2006,13,Female,47.9,8.2
2006,14,Female,50.6,8.03
2006,15,Female,52.3,8.21
2006,16,Female,53.4,8.22
2006,17,Female,53.7,8.32
2005,5,Male,19.1,2.75
2005,6,Male,21.6,3.55
2005,7,Male,24.3,4.34
2005,8,Male,27.4,5.44
2005,9,Male,30.9,6.56
2005,10,Male,34.7,7.65
2005,11,Male,39.1,9.16
2005,12,Male,44.9,10.34
2005,13,Male,50.1,10.58
2005,14,Male,55.3,10.62
2005,15,Male,60.3,11.35
2005,16,Male,62.2,11.01
2005,17,Male,63.8,11.08
2005,5,Female,18.7,2.64
2005,6,Female,21.1,3.42
2005,7,Female,23.6,4.03
2005,8,Female,26.8,5.03
2005,9,Female,30.2,6.14
2005,10,Female,34.4,7.34
2005,11,Female,39.5,8.21
2005,12,Female,44.4,8.7
2005,13,Female,48,8.29
2005,14,Female,50.8,8.09
2005,15,Female,52.4,8.5
2005,16,Female,53.3,8.13
2005,17,Female,53.7,8.45
2004,5,Male,19.1,2.78
2004,6,Male,21.6,3.56
2004,7,Male,24.3,4.46
2004,8,Male,27.5,5.56
2004,9,Male,31,6.7
2004,10,Male,34.7,7.92
2004,11,Male,39,8.98
2004,12,Male,44.9,10.41
2004,13,Male,50.1,10.77
2004,14,Male,55.2,10.73
2004,15,Male,60.1,11.45
2004,16,Male,62.2,11.12
2004,17,Male,63.5,10.91
2004,5,Female,18.7,2.66
2004,6,Female,21.1,3.42
2004,7,Female,23.6,4.01
2004,8,Female,26.7,5.06
2004,9,Female,30.3,6.24
2004,10,Female,34.5,7.39
2004,11,Female,39.6,8.36
2004,12,Female,44.5,8.68
2004,13,Female,48,8.44
2004,14,Female,50.7,8.16
2004,15,Female,52.5,8.8
2004,16,Female,53.4,8.43
