,Year,Age,Sex,Mean,SD,M3,M4
1,1983,5,Male,19,2.45,1.31879375055864,8.68667537266273
2,1983,5,Female,18.6,2.41,0.966053111388159,5.58520635432011
3,1983,6,Male,21,3.02,1.47442452176055,8.24674659929241
4,1983,6,Female,20.7,2.95,1.22732674275826,6.4606378598331
5,1983,7,Male,23.4,3.53,1.50855627250569,8.02560871111357
6,1983,7,Female,23,3.51,1.32065988202464,6.80139625846338
7,1983,8,Male,26.3,4.35,1.65129829094423,8.5544100186942
8,1983,8,Female,25.7,4.16,1.33839517608379,6.50795258110415
9,1983,9,Male,29.2,5.21,1.62059177033488,7.55407284346962
10,1983,9,Female,28.9,5.13,1.31088503861395,6.25886125049054
11,1983,10,Male,32.6,6.15,1.45573291243664,6.32152927837449
12,1983,10,Female,32.7,6.13,1.10201649461932,5.13612361890318
13,1983,11,Male,36.5,7.34,1.38417962126283,6.09021194238882
14,1983,11,Female,37.7,7.11,0.846587752542105,4.33263050852585
15,1983,12,Male,41.7,8.55,1.11549137586112,4.98743859214065
16,1983,12,Female,42.6,7.51,0.807030925946162,4.81645009533318
17,1983,13,Male,47.2,9.16,0.945205320633876,5.07807129736517
18,1983,13,Female,46.6,7.19,0.880656213555046,5.62244575799914
19,1983,14,Male,52.8,9.12,0.898968550196085,5.22301908799116
20,1983,14,Female,49.4,6.83,0.881326050385895,5.46840267336328
21,1983,15,Male,57.6,9.42,1.11718445484052,5.54051622812116
22,1983,15,Female,51.7,7.21,1.02299411609497,5.78689555619726
23,1983,16,Male,59.5,8.86,1.16774855872863,5.76557647481914
24,1983,16,Female,52.3,6.72,0.948142081753951,5.59003360258289
25,1983,17,Male,61.1,8.51,1.10258288184709,5.40393490750165
26,1983,17,Female,52.4,6.57,0.943414315550439,5.40591664886158
27,1984,5,Male,19.1,2.47,1.21062133793455,7.5606409579943
28,1984,5,Female,18.7,2.43,1.06258148229911,5.78798597634072
29,1984,6,Male,21.1,3.01,1.57609705185644,9.00010671182159
30,1984,6,Female,20.7,2.95,1.16517771599862,6.17991191779
31,1984,7,Male,23.5,3.57,1.63742010094092,8.58264255751112
32,1984,7,Female,23,3.47,1.3120334593157,6.81375805109576
33,1984,8,Male,26.3,4.3,1.53613870563376,7.31658398128409
34,1984,8,Female,25.8,4.17,1.30080002021796,6.34498390106945
35,1984,9,Male,29.4,5.27,1.66375683743633,7.99454086517274
36,1984,9,Female,29.1,5.15,1.32649237863839,6.00084051398902
37,1984,10,Male,32.7,6.08,1.38016409790802,5.89639787767254
38,1984,10,Female,33,6.16,1.21436779331168,5.98319123327528
39,1984,11,Male,36.4,7.12,1.28190240220196,5.51646528748495
40,1984,11,Female,37.7,7.2,0.892188288369471,4.53458290893661
41,1984,12,Male,41.7,8.43,1.07750431323443,5.08314393046115
42,1984,12,Female,42.9,7.51,0.717794597865623,4.21835794791478
43,1984,13,Male,47.3,9.13,0.906697810182592,4.81204026938082
44,1984,13,Female,46.8,7.1,0.727276931828096,4.54010300220427
45,1984,14,Male,52.8,9.12,0.930040216969346,5.26599984998201
46,1984,14,Female,49.7,6.91,0.918177314209539,5.53113294913005
47,1984,15,Male,57.9,9.4,1.04903042131674,5.24634602595334
48,1984,15,Female,51.8,7.143,1.05503409945699,5.77133320666228
49,1984,16,Male,60,8.78,1.1003516481528,5.51440777661578
50,1984,16,Female,52.7,6.88,1.05961017034139,6.1346414609675
51,1984,17,Male,61.5,8.47,1.07330530293862,5.36927213852911
52,1984,17,Female,52.7,6.74,1.15147676855995,6.69638463118593
